message,label
find files modified between 6 and 9 minutes ago,query
find all regular files under current directory tree and replace all 1.2.3.4 with 5.6.7.8 in these files modiying the files in-place,editor
find all *fink* files/directories in entire file system,query
search all undo files(ending with .undo) in the current folder and calculate the total size of them,query
Displays what package provides value zsh.,query
find all the directories in the entire file system whose size is greater than 50KB,query
search for all tif images in current folder,query
Search the files from the current directory tree for chrome,query
Delete all the files found in the current directory tree whose names begin with heapdump,editor
Write ee to standard output of the current terminal and as input to command foo,editor
"Put the output of tty into a variable, then searches the output of who for TTY with /dev/ removed and saves it to WHOLINE",query
Changes group ownership of myprog to groupb.,query
Change the permission to 0644 for all files under current directory,editor
display all symlinks and their targets in the current directory,query
find all regular files in the current directory tree whose names end with .DS_Store and delete them,editor
find all xml files under current directory and archive them to .bz2 archives,query
Search all *.c files from the current directory tree for hogehoge,query
change the permissions of all the regular/normal files to 664 in the current folder,editor
Change permissions to 644 for all regular files under the /path/to/dir/ tree unless these permissions are already set,editor
"Set variable value to current kernel release name, making this variable visible by subprocesses of current shell.",editor
find all files/directories named modules under current directory,query
get year-month-day hour:minute:second from date,query
"display the html, javascript and text files in the current folder (print0 is used to preserve the filenames of all the files which have newlines in their names)",query
find all the text files in current folder and change the extension of these files and move them to another folder,editor
Search the file system for regular files whose names are shorter than 25 characters,query
Prints the length and contents of the longest line in filename,query
find all regular files that reside in the current directory tree and were last modified at least 1 day ago,query
Remove all *.txt files under the given directory modified more than 5 minutes ago,editor
Wrap each line in file.txt to fit in 76 characters breaking only at spaces and indent the output,query
Format the output of rub-script.rb as a tab separated table,query
Append & Bytes to the end of every line in $TEMPFILE and format the result as a table,editor
set alias current for command cd $(cur -g),query
find all directories under current directory and run a command changing into every directory/sub-directory,query
find all the php files in the current folder,query
Read 10 bytes from $0 and print them by replacing the set \000-\377 with #,query
Move all *.emlx files/directories under /path/to/folders/ to ./Messages/ directory,editor
Format the date represented by time string @1267619929 according to default format and print it,query
"find all directories recursively starting from / and skipping the contents of /proc/, and count them",query
find all or single file called tecmint.txt under the / directory of owner root,query
"show processes for all users, their user/owner, and those not attached to a terminal",query
"Merge colon-separated information from standard input and file1.txt where the first field of both files matches, print unpairable lines from standard input, replace missing fields with no-match, and output the second field from standard input and the second and third field from file1.txt",editor
Displays line count in filename every 2 seconds.,query
display a long listing of all the regular files owned by the user bluher in the entire filesystem,query
Print list of bash command aliases.,query
"display kernel name, release, and version.",query
"Print a colon-separated list of all directories from the ~/code directory tree, except hidden ones",query
Move all regular files under current directory to ./newdir,editor
convert all the regular/normal files in the current folder from dos to unix format,query
find the file whose inode number is 1316256,query
Convert Unix `cal` output to latex table code.,query
remove all the files in the current working directory which have a specifc inode number,editor
"Remove files from the file system that are owned by nobody, asking the user before each removal",editor
Search the current directory tree for PHP files changed less than 14 days ago,query
find all *.* directories under /home/feeds/data directory,query
Print lines 10000 to 10010 from input seq 1 100000,query
Delete all .svn files/directories under current directory,editor
Send SIGTERM signal to entire process tree starting from ID 24901 and below.,query
Installs package nodejs answering yes on all questions.,query
display all the configuration files in the current folder which are in the current tree structure,query
display a long listing of all the files in the home folder which are bigger than 200MB,query
Print a list of regular files from directory tree sort_test/ sorted with LC_COLLATE=C,query
"Takes folder name of file $0, changes backslashes to forward ones and saves result in $basedir variable.",query
find all files/directoires that were modified more than 3 days ago under $dir directory tree,query
find dirctory files which modification time is  7 days ago,query
Create a tar archive of files from directory tree data,editor
Copies all files like lib*.so to ~/usr/gtest/lib/ directory.,query
find all files in home folder which have been modified after a timestamp,query
find all the files in entire file system  which are accessed 50 days back,query
"Go to directory specified by variable somedir, but replacing leading ~ character by actual home directory.",query
Delete all contents form the files that contain the case insensitive regex stringtofind in maximum 1 level down the / directory excluding other partitions,editor
"find all your jsp's, map them to your localhost webserver, and invoke a wget (fetch) on them",query
display the sizes and filepaths of all files/directories sorted in ascending order of size,query
Print list of disk and mountpoint of disks matching /dev/sd* into mount_point as a background task,query
Format the filename and modification time of files starting with t as a table on OSX,query
Remove all files in and below the current directory whose names begin with not,editor
display all the files in the entire file system which begin with apache-tomcat,query
Print all directories under $root appending a : (colon) at the end of each path without descending into directories matching the pattern .[a-z]*,query
find all empty directories recursively starting from the current one and delete them,editor
Print content of all files ending with *.foo under the current directory,query
Print -exec is an action so an implicit -print is not applied for every file/directory found by the name file under current directory tree,query
find all files/directories under current directory with the null character as the delimiter,query
find all readable files,query
find the total size of *.jpg files within the current directory tree,query
find all the text files in the current folder,query
find all the files in the current folder which are smaller than 9MB,query
display the contents of all the regular files in the current folder and save the output to out.txt,query
Create hard links of all files and directories matching test/icecream/cupcake/* or test/mtndew/livewire/* in test-keep preserving directory hierarchy,editor
create directory .hiddendir,editor
display all the files in the current folder which have been modified in the last 5*24 hours,query
find all files in the current directory tree named FILES.EXT,query
Search the current directory recursively for files writable for `others',query
remove all the core files in the current folder which have not been changed in the last 4 days.,editor
find files matching the regex myregex in their contents and append the list of these files to outfile.txt,editor
find all empty files starting from the current directory and delete them,editor
Remove the 123_ prefix from all filenames of .txt files in current directory.,editor
"Print lines of file reverted order, and reverted characterwise",query
Finds binaries names in a list of running processes and prints containing folder of each binary.,query
display all the jpg files in the current folder which belong to the user nobody,query
find all the files in the folder myfiles which have not been accessed in the last 30 days,query
Set prompt to the system host name and history number,query
find all regular files or symlinks in the entire file system,query
"find all the files in the current folder which have been modified in the last 60 minutes, which are atleast 1 level deep and display a long listing of these files",query
Locate all files in the current directory and below that have testfile in their names,query
unsafed rm all file which name start with #,query
Count the number of .gz files in directory tree /home/user1/data1/2012/mainDir,query
find all the files on the system that have been changed within the last hour,query
Changes group ownership of target_directory to target_group.,query
List files larger than 10MB under /var/log,query
Print the list of files in the current directory tree skipping Git files,query
find writable files in the current directory tree,query
Create a named screen session,editor
find all files/directories with .o extension under /lib/modules directory tree,query
Shows status of a shell option dotglob.,query
list all files in /home/bozo/projects directory tree that were modified within the last day,query
List files in dir1 that are not in dir2,query
find all files/directories with space in their names under current directory and rename them by replacing all spaces with _,editor
"find C, C++ source and header files in current folder and create etags for them",editor
Save the name and first line of each .txt file found in the home directory tree to `report.txt',query
Print the first 10 files or directories found in the current directory tree by `find',query
"display all the regular/normal files in the folder /path/ which have not been modified today ( from day start ie, 00:00 )",query
Remove everything in a current folder prompting user on each action.,editor
find all .php files starting from the root directory and ignoring /media,query
find the first file/directory in ... directory and quit,query
find all *fink* files/directories in entire file system,query
find files on the system that are bigger than 20 megabytes,query
search for all the files in the folder /usr/bin which have not been accessed in the last 100*24 hours,query
Sets extglob shell option.,query
"Search the current directory tree for files matching sed regular expression .*myfile[0-9]\{1,2\}",query
"find string STRING in files residing in the current directory tree, case insensitive",query
search for all the symbolic links in a folder and delete them,editor
Update the archive 2009.tar with the files from the data/ directory tree that match pattern filepattern-*2009*,editor
"Read yesterdays date with format %a %d/%m/%Y into variable dt"" in a subshell",query
Unzip and expand tar archive compressFileName,query
Print the line number of each matching <phrase> in <filename>,query
Print a listing of the /usr/local/etc/rc.d directory tree,query
find all regular files named postgis-2.0.0 under your home directory,query
find all *.xml files under current directory,query
Search directory tree `MyApp.app for directories whose name is Headers' and delete them,editor
Save full path of command cat to variable CAT,query
Disables shell option dotglob.,query
search for the word hello in all the text files in the temp folder and delete them,editor
Copy /new/x/y/z/ over the network to user@remote:/pre_existing/dir/ preserving the directory hierarchy,editor
Execute tail file | grep pattern every 2 seconds,query
find all directories in directory tree `httpdocs',query
display all text files in the folder /user/directory which have been modified in today,query
find all directories under current directory and set their permission to 755,editor
find all the files in the /usr folder which have modification date less than or equal to the file /FirstFile,query
"Puts working directory into clipboard, stripping newlines",query
change owner and group of the all files with group owner vboxusers into home directory to user and group kent,editor
"Counts the number of lines in each *.swift or *.mm file in a git repository, escaping any space in filename.",query
Print output of script -c ./a /dev/null to standard output and output.txt,query
Print number of bytes in $file.,query
calculate the total size of jpg files in current folder,query
Removes empty folder symlink.,query
Search the /mnt/raid/upload directory tree for files that have not been modified within the last 5 days,query
find files with extension .conf in the /etc directory tree,query
"Send one ping request to host whose name or IP address is specified by variable ip, using network interface eth9.",query
Archive all filepattern-*2009* files/directories under data/ into 2009.tar,query
find all the files in current folder which have spaces and save the long listing of these files to log file before deleting them,query
list files in /usr modified after the time which /tmp/stamp$$ modified,query
Extract any line in file1.txt which does not appear as the first ; delimited entry in file2.txt,editor
find all the files in the current directory which start with t and have been modified between one hour (60 minutes) and 12 hours (720 minutes) ago.,query
Search the current directory tree for all regular files matching pattern *.rb,query
search for the directory with the name aa in the current folder,query
find the total size of *.jpg files within the current directory tree,query
update the permission of all the php files in current directory and save the output to a file,editor
display all the regular files in the current folder and do not search in sub folders,query
Move all *.data files/directories in $S directory to $S/data/ directory,editor
Execute commands from $file in the current shell.,query
Instantly kill all processes whose command is myprocess.,query
"Recursively copies everything from /source/path/* to the /destination/path/, preserving from overwriting existing files, and printing info message on each operation.",query
find all directories under /path/to/base/dir and change their permission to 755,editor
Remove all files in the ~/backups/mydatabasename directory recursively that were last modified more than 30 days ago,editor
"Add new. to the beginning of the name of original.filename, renaming it to new.original.filename.",editor
"list txt files older than 5 days or html files of any age, null separated",query
list all samba files in /var/l* directory ( /var/lib or /var/log ),query
"find target.txt files in the /base/path/of/proj/d‌​ata directory tree and pass them as arguments to simpleGrepScript.sh, saving the output as overallenergy.out",query
Save the user name of the current user to variable me,query
set alisa py for command $EDITOR,query
find all files that belong to group root,query
Search all the regular files in the current directory for example,query
Exclude directory from find . command,query
display all normal/regular files or directories in the folder $ORIG_DIR,query
List all *fink* files/directories under current directory,query
display all the hidden files in the folder /home,query
create directories bravo_dir and alpha_dir,editor
find all files/directories named modules under current directory and list them twice,query
Print file extension assuming there is only one dot in the file name.,query
show all files in the current directory and all subdirectories,query
find all directories under path_to_dir directory,query
"Search the current directory tree for files whose name is .note, case insensitive",query
Search the /root directory recursively for the regular file named myfile,query
"display process information once, adding __CUSTOM_LINE_MARKER at the end of each line.",query
"change the group to new_group and permissions to 770 for all the files in the current folder, $0 is the input to the sub shell i.e, the name of the file",editor
Locate all `readme.txt' files under the home directory,query
Run the command true with an empty environment variable doFirst,query
calculate the md5sum of the executable file of command c++,query
Execute script your_command_here passing all regular files from directory tree /target/path as arguments to it,query
Print a sorted list of all .jpg files in the current directory and below,query
"List all files/directories under current directory with their inode numbers, disk space, permission, number of hard links, user name, group name, size, status change time in Y-m-d format and name filed,  then write the outptut to /tmp/files.txt",editor
find every vim undo file in the current directory tree,query
Count the number of lines in all files in the xargstest/ directory tree that match pattern file??,query
find files and directories with group id 1003,query
Shuffles strings of text received by awk command on the input.,query
Delete all .svn files/directories under current directory,editor
Delete all matches to the regex ^.*iframe bla bla bla.*$ in all the php files under current directory tree and modify the files in-place,editor
return every file that does not have bar somewhere in its full pathname,query
Run otherscript.sh script with all environment variables specified in the file xxxx,query
Create a symolic link in /usr/local/ to /Applications/Sublime\ Text.app/Contents/SharedSupport/bin/subl,editor
set alias mycd for command cd `echo $1`,query
"Search the current directory for files whose names start with messages. ignoring SVN, GIT, and .anythingElseIwannaIgnore files",query
split file data.csv into pieces per 100 lines named with additional suffix .csv,query
find all *.cgi (case insensitive) files/directories under current directory and change their permission to 755,editor
find all *.jpg (case insensitive) files under current directory,query
find all files beneath the current directory that begin with the letters Foo and delete them.,editor
Replace all newlines from standard input except the last with spaces,editor
Searches for something in a large file and prints the matching line,query
find all file.ext files/directories under /home/kibab directory and print . for each of them,query
find the first file/directory under current directory and quit,query
Search the .log files in the current directory tree for string The SAS System,query
create a symbolic link in current directory named environments to file ../config/environments,editor
Read a line from standard input in an interactive shell with prompt in variable myprompt interpreted as PS1 is interpreted,query
find all files/directories with 755 permission under current directory tree,editor
Search the current directory tree for files named Subscription.java,query
search for the word slrn in all the files in the current folder,query
remove all the files with the name Trash in the folder /home,editor
find all the files in the home folder which have not been modified in the last 1 year.,query
find all files/directories that start with screen (case insensitive) in their names under user's home directory tree and show them by paging through one screenful at a time,query
find the regular js files which path does not contains */test/*  and name does not contains *-min-* or *console*,query
List and remove all regular files named core under /prog that are larger than 500k,editor
Print the last line of $file1 to the console and append to $file2,editor
find all symbolic links in the current folder,query
Print every 4th line from 10 lines of y with line numbers,query
Recursively finds all *.dbf files from the root folder and prints list of folders with such files.,query
"Search for all the directories named m? under current directory tree, add the extension .mbox to all, create a Messages directories inside them and move all files with .emlx extension to Messages directory",editor
Remove all directories called test from the /path/to/dir directory tree,editor
find .log files in the /var/log directory tree and copy them to a bzip2 archive,editor
find files that are writable by both the “other” and the group,query
find all regular files with space in their names under current directory and rename them by replacing all spaces with _,editor
Counts total line number of all *.php file in a current folder and subfolders.,query
Mount ext4 filesystem /dev/xvdf on /vol,query
Change all directories under ./bootstrap/cache/ to owner apache and group laravel,editor
View history using more,query
Send two ping requests to www.google.com,query
find all the files which are modified 50 days back,query
View history using vim in read only mode,query
find all regular files starting from the current directory,query
Append history lines from this session to the history list,editor
Create directorie(s) some/path as required in the current directory,editor
find files with the extension .conf in the /etc directory,query
display all the files having spaces in the current folder,query
Count the number of the regular files residing under and below ./randfiles/,query
find all the files named vimrc anywhere on the system,query
Create a symbolic link in target directory $tmpdir for each file under the current directory,editor
Change user ownership to `foo' for files with UID=1005,editor
Make directories es/LC_MESSAGES as needed and do not error if it exists,query
Create archive backup1.tar of all subdirectories of the current directory,editor
Search for mystring in all *.txt files under current directory,query
find directories that are directly under $workspace_ts directory (no-subdirectories) and were modified more than 30 days ago,query
Forward all connections to client localhost 3307 via the SSH tunnel to gateway and then connect to host 1.2.3.4 to port 3306,query
find all normal/regular files in current folder and display them in sorted order,query
"Run command, pausing and waiting for user interaction after each page of output.",query
find all image.pdf files/directories under ./polkadots,query
"Search the current directory tree for files named somename, case insensitive",query
find all *.php (case insensitive) and *.js files (case insensitive) under /home/jul/here excluding  /home/jul/here/exclude/* paths,query
move all files in the current folder another folder and do not move the files in the sub folder,editor
Split $file into files with at most 1000 lines each and use a prefix length of 5,query
Suffix all files and folders in the current directory with _SUF,query
Rename files from the current directory tree to the ASCII standard,editor
find files in the current directory tree that have one link,query
Renames all *.html files in a folder directory to *.txt files.,query
Print time required to get line number 50000000 from text file myfile.ascii.,query
find all files whose names do not begin with zsh on ext3 file systems,query
"display current system's kernel name, kernel release and version, and machine architecture",query
display long listing of all the files/directories owned by the user me under /tmp directory tree,query
find all empty files in the current directory ( empty file = size 0 bytes ),query
Recursively change the group ownership to laravel in ./storage,editor
Print found if blah contains the hex byte string \xCA\xFE\xBA\xBE,query
Read a line from standard input into variable REPLY with prompt $1 ([y]es or [N]o):,query
Prints all business days in a current month.,query
Removes all files but $1 newest ones from current folder.,query
remove all the .core files in the file system,editor
Count all directories in maximum 1 level down the current directory,query
find all the .flac files in the current folder and convert them to mp3 with 160k bit rate,query
extract passwd.tar.gz with verbose output,editor
display long listing of all the empty files in the current folder,query
display the 5 smallest files in the current directory and its sub-directories.,query
Counts all files in a current folder and subfolders.,query
Print the names and sizes of all regular files from the current directory tree,query
recursively look for files ending in either .py or .py.server,query
Mount the vboxsf filesystem myFileName on ~/destination,query
"Execute ps -mo pid,tid,%cpu,psr -p \`pgrep firefox\` every half second displayed with no title and highlighting the differences",query
"find files that end in .gz and execute awk -F, $1 ~ /F$/'"" on their unzipped contents",query
find all files with space in their names under current directory,query
find all files whose names begin with Makefile in the /usr/ports directory tree and count the number of lines in them containing ^M,query
Search the current directory tree for TXT files skipping hidden ones,query
Remove all *.mp3 files in tmp directory but not in it's subdirectories,editor
find all *shp* directories under current directory and move all regular files inside those directories to ../shp_all/,editor
find all files under /somefolder matching the pattern expanded by $FILE_PATTERN in thier names,query
Forward all connections to client localhost 3309 via the SSH tunnel to mysql_access_server and then connect to host sqlmaster.example.com on port 3306,query
Remove the ^M characters from all *.ext files under /home directory and save the results to new files with _new appended in their names,editor
find files under current directory that are newer than $date_time in regards of modification time,query
Creates temporary file with name formatted like .script.XXXXXX in /tmp/ folder and saves path to it in script2 variable.,query
Recursively removes all files like .DS_Store from current folder.,query
See what files are executable by the file's owner and group,query
display standard input as octal bytes,query
Copy all files that match FooBar in their paths under current directory tree to the ~/foo/bar directory,editor
download content from http://page.that.serves.json.com/json/ and format it as json,query
Search the current directory tree for hidden files,query
Automatically log into SOME_SITE.COM as user YOUR_USERNAME using password YOUR_PASSWORD,query
display all files in a folder,query
search for the host slc02oxm.us.oracle.com in all the xml files in the current folder and display the files which has the matched content,query
find command will display top 5 small files from curent directory . most probably you will get ZERO  bytes files .,query
find all files and directories starting from the current directory and excluding hidden files and directories,query
Print the time to ping 8.8.8.8 followed by a time stamp if the ping is greater than 50,query
Run git pull in every git repository in the current directory,query
Reports count of characters in the value of ${FOO} variable as follows:  length(FOO)==<counted number of characters>,query
find all hidden files under /tmp,query
Print the list of files in the current directory tree excluding those whose paths contain exclude3 or exclude4,query
Count the number of regular files in the current directory tree,query
find all fglrx-libGL* files under and below debian/fglrx/,query
Print lines in foo.txt that are found only once,query
Search for command tail in the maps of the process with PID 2671,query
Print the characters in $b that match with any character in $a without printing any newline,query
find the largest 10 directories under current directory,query
Remove all files whose names start with spam-,editor
Gets IP address of only primary network interface.,query
Read a line from standard input and save response in variable VARNAME,query
find all the normal/regular files in current folder excluding sub directories and hidden folders and display the count,query
rename all the png files to jpg files in the current fodler,editor
Set permissions of all directories under /opt/lampp/htdocs to 711,editor
find all files in the current directory which are bigger than 4MB,query
list all files under the current directory called cookies.txt,query
Run `command' passing the files from the current directory tree as arguments,query
find all directories named files under current directory and set read-write-execute permission for owner and group and no permission for other for those directories,editor
find all files whose filename does not end with *.html.,query
List HTML files starting from the home directory that are 50k at the most,query
find all regular files in the current directory tree and count them,query
Count the number of regular files in directory tree ${DIRECTORY} that contain a vowel in their names,query
Truncate all regular files under the current directory,editor
search all jpg files in current folder,query
Search the current directory tree for regular files whose names end in log,query
Counts lines in each *.php file sorted by file path.,query
search for files having python in filename,query
List environment variables whose name contains X,query
Count the number of files named job.history under /data/SpoolIn directory tree that match FAIL in their contents,query
Copy all files in current directory that do not match */not-from-here/* in their paths to /dest,editor
Unzip every .gz file in the current directory,query
Replace all occurrences of foo (case insensitive) with bar in all *.css (case insensitive) files under %s directory,editor
Saves state of shell option nullglob in an old_nullglob variable.,query
Search the /var/www/ tree for files not owned by user `apache',query
find all directories under /home/mywebsite/public_html/sites/all/modules and set their permission to 750,editor
Count the number of files in the /usr/ports directory tree whose names begin with pkg-plist and which contain unexec.rmdir%D,query
Search appended data in logfile.log for something with a timeout of 3 seconds,query
Delete all directories in minimum 2 levels down the root directory,editor
find all files under current directory and show their file information,query
Create a symbolic link named /usr/local/bin/subl to /Applications/Sublime Text 2.app/Contents/SharedSupport/bin/subl,editor
"add read,write permissions to all the files in the current folder which have the permission 600",editor
Create a symbolic link named $1/link to the existing full and real path of $2,editor
"find all the cpp(C++ source files), java, header files in the current directory",query
find and show all files on the system that are larger than 900 MB,query
Print the names of the subdirectories of /usr/local/svn/repos/ prepending /usr/local/backup to them,query
find *.java files under current directory and compress them to myfile.tar,editor
Sort numerically and compare files ruby.test and sort.test,query
find files not matching shell pattern */vendor/*,query
Trim leading and trailing whitespace from variable var.,query
Write the standard output and error of ls to standard output and /tmp/ls.txt,editor
Compress regular files in the current directory tree that were last modified more than 7 days ago,editor
display a long listing of the files in current folder which have been modified in the last 60 minutes,query
Delete all files in the /myDir directory tree that were last modfied 7 days ago,editor
"Prints the PID, PGID and command name of the process with the name test every second",query
find all c & c++ files in the current directory and save output names to another file,query
Unzip and extract *\(userAgent=[^=]*\) [^ =]\+=.* from input.gz,editor
Show the files or directories in the current directory whose names are not MyCProgram.c,query
Search for the case insensitive regex expanded by $2 in all files named $1 (to be expanded) under current directory,query
"List in detail all *.txt files in the current directory tree, omitting paths ./Movies/*, ./Downloads/*, and ./Music/*",query
find regular files modified less than 14 days ago stripping ./ from each file name,query
find all files/directories under /path directory that were modified more than 30 minutes ago,query
find all php files in the folder  /var/www/,query
grep from bottom of file,query
List file contents of compressed file $i,query
find empty files and directories,query
find the most recently changed files in a subtree,query
Print the first 2 lines of tree's help message by redirecting it from standard error to standard output,query
find all *.mp3 files under current directory and run mplayer with these files,query
display list of all the hidden files in the folder $HOME/projects/ and save the output to the file foo.txt,query
List all cron jobs where the minute part is either * or a number from 0 to 14.,query
Remove all the versioned-but-empty directories from a Subversion checkout under current directory,editor
List files/directories at least three levels down the directory tree,query
search for the file process.txt in the current directory,query
Create script filesPermissions.sh that restores the original permissions of the regular files in the current directory tree,editor
Archive /top/a/b/c/d to host remote using relative path names,query
Remove duplicate lines in file_name and print the output on stdout,editor
display all files in current directory discard any errors and save the output to a file,query
Show all of the .conf files in Pat's user folder and subdirectories using the less pager,query
display the last 3 characters of variable foo.,query
Create symlinks to all  /home/folder2/*.txt files with the same name in current directory,editor
Search the current directory tree for file a.txt,query
find all foo.mp4 files in the current directory tree and print the pathnames of their parent directories,query
"Search all PDFs from the current directory tree for keyword, ignoring the case",query
find all *.php (case insensitive) files and *.js files/directories (case insensitive) under /home/jul/here excluding /home/jul/here/exclude/* paths,query
"Overwrites file filename with random content 35 times, finally writes it with zeros, truncates and deletes.",query
Create a symbolic link named ~/bin/subl to /Applications/Sublime Text.app/Contents/SharedSupport/bin/subl,editor
find files larger than 50k,query
Print common lines in sorted files ignore.txt and input.txt,query
Gets IP address of first listed network interface in system.,query
find all directories under /home/username/public_html/themes and set their permission to 750,editor
Recursively finds all bzip2 compressed files in a current folder and decompresses them.,query
Search the current user's home directory and its sub-directories for any file that was modified less than 2 days ago or was modified after filename was last modified.,query
find all the xml files in a directory and pass it as an argument to a jar (parallel is used to achieve parallel processing),query
List all files from the current directory tree that were modified less than 60 minutes ago,query
delete all empty files in the current directory ( empty file = size 0 bytes ),editor
extract the content of the file large.csv.gz and split it into pieces per 1000 lines named as xxxNNN,editor
Search the /home/www directory tree for regular files,query
Apply script ./group.sed with option --separate to all regular files of the current directory tree,query
find all jar files in current folder and search for a file in all these jar's and display the jar names along with searched file,query
Set 644 permission to all regular files under /home/my/special/folder directory,editor
List all aliencoders.[0-9]+ files/directories under /home/jassi/ directory,query
find all files in the current folder which have not been modified today and whose file name is of length 1,query
"Dump testscript.sh as 2 byte hexadecimale, printable characters, and octal values",query
find all *.so files under current directory and search for mysymbol in their symbol tables,query
Extract tar.gz archive and go into the directory that would normally be created by extracting it.,editor
Execute /some/directory/myprogram ignoring output in the background on target machine user@target,query
search for all the c files in the current folder,query
find all directories recursively starting from / and count them,query
Finds strings with text text in all files named string to be searched recursively in a current folder.,query
Get only the latest version of the file filename under current directory,query
count amount of jobs running,query
find all files/directories with .js extension under current directory tree excluding paths that contain the directory ./directory,query
list all active jobs and its IDs,query
Move all files in the current directory tree that match some_pattern to target_location,editor
find all files/directories under /export/home/someone directory in a remote host (somehost) and upload the files/directories to ftp://somehost/tmp/,query
find all the files in the file system which have been modified in the last 30*24 hours,query
display all the files in the current folder which end with .bash,query
find the core files and  remove them,editor
Search all *.c files from the current directory tree for hogehoge,query
"Run the PHP script yourscript.php, making it immune to SIGHUP signals.",query
find files with 002 permission under /tmp and print them with the string Found world write permissions: printed as the first line of output or print No world writable found if no such files were found,editor
Copy all files with .png (case insensitive) extension under /home/mine directory tree to /home/mine/pngcoppies/copy. directory,editor
display a long listing of all directories under /nas directory tree,query
display all the files in the current folder which hare in the sub directory trees of the folders which begin with the word kt followed by a digit,query
Format $line as a table,query
Convert all characters in standard input to lower case,query
Add a date time stamp to every line of output in ping google.com,editor
Make directory mybuild,query
find all *.mp3 files under current directory and run mplayer with these files,query
display all the files in the folder /home which have the setuid bit enabled,query
find regular files under / that contain stringtofind and clear out their contents,query
find all directories under present working directory,query
